iter	MultiClass
0	1.072768861
1	1.048913196
2	1.02701338
3	1.005770881
4	0.9864180147
5	0.9683174478
6	0.9513789508
7	0.9354986663
8	0.9203549644
9	0.9062240428
10	0.8928239883
11	0.8801532167
12	0.8682917721
13	0.8568371336
14	0.8462892144
15	0.8357713534
16	0.8259180804
17	0.8166094233
18	0.8079274441
19	0.7991768704
20	0.7910802435
21	0.783479385
22	0.7761590377
23	0.7693086103
24	0.7623879047
25	0.7559550796
26	0.750084847
27	0.7441947196
28	0.738444065
29	0.7327857971
30	0.7275182971
31	0.7224770085
32	0.7173493535
33	0.7127657644
34	0.7084581581
35	0.7042276024
36	0.6997663354
37	0.695694751
38	0.6916865652
39	0.6879574423
40	0.6845637592
41	0.6811150144
42	0.677485478
43	0.6744967128
44	0.6713893183
45	0.6681003283
46	0.6652008612
47	0.6624253159
48	0.6597365547
49	0.6569631104
50	0.654634221
51	0.6521918433
52	0.6497271027
53	0.6470306231
54	0.6446375646
55	0.6421095434
56	0.6399451103
57	0.637858502
58	0.6358248383
59	0.6337244099
60	0.6317642245
61	0.6293678282
62	0.6275908687
63	0.6255032453
64	0.6237935519
65	0.6218147168
66	0.620285858
67	0.6187817082
68	0.6173025986
69	0.6156272849
70	0.6141752222
71	0.6125641852
72	0.6107456154
73	0.6092647714
74	0.6075590061
75	0.6061509704
76	0.6049950369
77	0.6036823402
78	0.6023708829
79	0.6009844794
80	0.5999762553
81	0.5989901213
82	0.5980989687
83	0.5965816027
84	0.5954453012
85	0.5940781704
86	0.5930001684
87	0.5917995685
88	0.5906221676
89	0.5894973606
90	0.5880781461
91	0.5870402044
92	0.5858622964
93	0.5847079346
94	0.5836272527
95	0.5821462379
96	0.5810149031
97	0.5798117451
98	0.5786055249
99	0.5776220338
100	0.5764302289
101	0.5754434681
102	0.5741694741
103	0.5732170156
104	0.5722996119
105	0.5707855988
106	0.5697453337
107	0.5686626145
108	0.567634958
109	0.5663315084
110	0.565488607
111	0.5645200002
112	0.5635748946
113	0.5627648875
114	0.562267407
115	0.5608065137
116	0.559928941
117	0.559161636
118	0.5583177937
119	0.5574788635
120	0.5565962608
121	0.5559317902
122	0.5551456731
123	0.5543965328
124	0.5536363387
125	0.5530906572
126	0.552320637
127	0.5507195043
128	0.5495155599
129	0.5487446304
130	0.5479965332
131	0.5469965955
132	0.5460750938
133	0.5455249689
134	0.5446086161
135	0.5438085551
136	0.5432027335
137	0.5426699441
138	0.5416565932
139	0.5406639391
140	0.5400601032
141	0.5394800041
142	0.5385042322
143	0.5376682047
144	0.536680225
145	0.535841419
146	0.5352126191
147	0.5346704306
148	0.5340961813
149	0.5333893485
150	0.5327691669
151	0.531935038
152	0.5315210446
153	0.5305805508
154	0.5296750444
155	0.5283428794
156	0.5275348107
157	0.5262015411
158	0.5254959261
159	0.5247980263
160	0.5240124377
161	0.52328356
162	0.5222882608
163	0.5212905725
164	0.520537652
165	0.5200796133
166	0.5195282553
167	0.5189205225
168	0.5184692764
169	0.5178197295
170	0.5170665542
171	0.5164397186
172	0.5153879454
173	0.5147249709
174	0.5139265773
175	0.5128870453
176	0.5117702457
177	0.5112759118
178	0.5106856273
179	0.510074269
180	0.509591075
181	0.508812517
182	0.508153407
183	0.507720093
184	0.5073666763
185	0.5066502025
186	0.5061488315
187	0.5054516728
188	0.5046735848
189	0.5039206284
190	0.5033144455
191	0.5026456724
192	0.5019424056
193	0.5014498122
194	0.5007644622
195	0.5000686447
196	0.4992075513
197	0.498697504
198	0.4976638059
199	0.4971569879
200	0.4966728573
201	0.4961559177
202	0.4955331246
203	0.4949030966
204	0.4937423141
205	0.4930088831
206	0.4922293368
207	0.491631348
208	0.4909859984
209	0.4903707057
210	0.4897646402
211	0.4889268961
212	0.4883054655
213	0.487466941
214	0.4871369542
215	0.4864033717
216	0.4861248134
217	0.4854167828
218	0.4846488381
219	0.4840772751
220	0.4831725552
221	0.482550896
222	0.4821895258
223	0.4817727915
224	0.4812064621
225	0.4806198873
226	0.4801919963
227	0.4794203967
228	0.4787489716
229	0.4780842383
230	0.4777303983
231	0.4771556337
232	0.4766304015
233	0.4757368068
234	0.4752302353
235	0.4746146045
236	0.4739153926
237	0.4731573052
238	0.4728534691
239	0.4724579523
240	0.4718101659
241	0.470990042
242	0.4706415371
243	0.4697530668
244	0.4690775939
245	0.4682225884
246	0.4677622915
247	0.4674926052
248	0.466916453
249	0.4666641128
250	0.4661445532
251	0.4655526783
252	0.4648956101
253	0.4641162203
254	0.4634829122
255	0.4629482696
256	0.4622621832
257	0.4618447418
258	0.4612245245
259	0.4602910705
260	0.4595968353
261	0.4587629414
262	0.4584502875
263	0.4580669641
264	0.4573593115
265	0.4565594942
266	0.455996309
267	0.4555883902
268	0.4552624947
269	0.4548863067
270	0.4544653051
271	0.4538000703
272	0.4530207081
273	0.452517328
274	0.4518191795
275	0.4515546243
276	0.4511425493
277	0.4500497185
278	0.4493885087
279	0.4486803315
280	0.448049598
281	0.4471945462
282	0.4467295828
283	0.4458595062
284	0.4452680087
285	0.4442051624
286	0.4435079768
287	0.4429039495
288	0.4415768517
289	0.4411924259
290	0.4402033509
291	0.439863365
292	0.4394903469
293	0.4388330461
294	0.4384701555
295	0.4379170572
296	0.4375952679
297	0.43724111
298	0.4367555296
299	0.4362031399
