iter	Passed	Remaining
0	56	56289
1	127	63759
2	218	72617
3	289	72045
4	368	73276
5	436	72363
6	519	73629
7	593	73604
8	658	72533
9	716	70955
10	779	70113
11	840	69202
12	902	68551
13	981	69098
14	1082	71064
15	1180	72574
16	1263	73086
17	1360	74238
18	1461	75464
19	1538	75382
20	1612	75187
21	1703	75740
22	1793	76165
23	1875	76270
24	1944	75829
25	2063	77288
26	2213	79763
27	2291	79541
28	2390	80038
29	2452	79286
30	2510	78457
31	2568	77707
32	2641	77393
33	2716	77187
34	2795	77081
35	2868	76806
36	2940	76537
37	3004	76066
38	3064	75520
39	3121	74923
40	3175	74277
41	3240	73921
42	3329	74107
43	3389	73642
44	3444	73100
45	3497	72538
46	3550	72002
47	3604	71488
48	3679	71419
49	3754	71326
50	3842	71509
51	3899	71083
52	3956	70693
53	4013	70305
54	4072	69975
55	4155	70051
56	4215	69733
57	4272	69386
58	4329	69054
59	4434	69479
60	4494	69183
61	4547	68793
62	4600	68428
63	4654	68072
64	4707	67716
65	4767	67466
66	4821	67144
67	4877	66843
68	4933	66573
69	4991	66310
70	5044	65998
71	5096	65689
72	5149	65385
73	5205	65144
74	5255	64823
75	5312	64583
76	5377	64465
77	5439	64291
78	5491	64022
79	5564	63992
80	5609	63648
81	5653	63287
82	5699	62970
83	5746	62662
84	5789	62319
85	5834	62010
86	5877	61681
87	5924	61395
88	5968	61097
89	6023	60899
90	6073	60670
91	6117	60374
92	6162	60100
93	6208	59841
94	6256	59605
95	6317	59494
96	6380	59393
97	6429	59176
98	6480	58982
99	6524	58723
100	6580	58575
101	6648	58529
102	6692	58281
103	6735	58027
104	6779	57783
105	6823	57544
106	6866	57308
107	6909	57066
108	6955	56860
109	7001	56646
110	7046	56432
111	7094	56246
112	7140	56049
113	7183	55826
114	7227	55619
115	7273	55432
116	7318	55231
117	7369	55081
118	7414	54892
119	7458	54698
120	7503	54508
121	7545	54300
122	7589	54115
123	7635	53937
124	7701	53910
125	7746	53735
126	7791	53557
127	7837	53393
128	7880	53211
129	7927	53054
130	7970	52873
131	8020	52742
132	8061	52554
133	8105	52384
134	8152	52236
135	8209	52151
136	8281	52165
137	8332	52047
138	8378	51897
139	8421	51732
140	8469	51599
141	8512	51437
142	8557	51286
143	8603	51141
144	8650	51008
145	8695	50863
146	8745	50747
147	8817	50759
148	8859	50601
149	8906	50471
150	8950	50324
151	8995	50185
152	9039	50043
153	9084	49906
154	9128	49762
155	9173	49629
156	9218	49498
157	9267	49390
158	9321	49302
159	9367	49181
160	9413	49057
161	9456	48915
162	9498	48774
163	9543	48646
164	9587	48519
165	9632	48392
166	9677	48270
167	9721	48146
168	9764	48014
169	9814	47917
170	9891	47951
171	9935	47827
172	9980	47712
173	10023	47584
174	10071	47478
175	10114	47353
176	10160	47241
177	10200	47106
178	10243	46984
179	10289	46872
180	10342	46798
181	10391	46702
182	10433	46580
183	10478	46469
184	10522	46357
185	10572	46268
186	10615	46152
187	10661	46050
188	10706	45942
189	10752	45837
190	10802	45753
191	10845	45643
192	10899	45575
193	10965	45558
194	11009	45449
195	11055	45349
196	11101	45250
197	11145	45143
198	11189	45040
199	11231	44927
200	11275	44820
201	11325	44740
202	11370	44641
203	11419	44558
204	11465	44461
205	11508	44356
206	11553	44260
207	11596	44154
208	11640	44054
209	11687	43967
210	11733	43874
211	11777	43776
212	11821	43679
213	11864	43578
214	11908	43479
215	11960	43411
216	12026	43393
217	12069	43296
218	12116	43210
219	12160	43113
220	12203	43015
221	12248	42924
222	12294	42836
223	12342	42756
224	12385	42662
225	12430	42571
226	12473	42474
227	12522	42399
228	12576	42341
229	12620	42251
230	12663	42157
231	12708	42069
232	12751	41974
233	12796	41890
234	12843	41808
235	12889	41726
236	12933	41639
237	12978	41554
238	13025	41474
239	13070	41391
240	13142	41390
241	13185	41301
242	13229	41211
243	13273	41125
244	13322	41054
245	13369	40978
246	13412	40889
247	13458	40810
248	13501	40720
249	13544	40634
250	13592	40561
251	13636	40475
252	13680	40391
253	13725	40311
254	13766	40221
255	13814	40149
256	13862	40076
257	13908	40000
258	13953	39922
259	13997	39838
260	14040	39754
261	14085	39675
262	14137	39616
263	14207	39607
264	14254	39535
265	14304	39472
266	14347	39389
267	14394	39316
268	14438	39237
269	14481	39153
270	14523	39069
271	14570	38997
272	14615	38920
273	14665	38859
274	14715	38794
275	14755	38707
276	14799	38628
277	14844	38554
278	14890	38479
279	14934	38403
280	14982	38335
281	15029	38265
282	15074	38192
283	15118	38115
284	15160	38034
285	15211	37975
286	15290	37985
287	15336	37914
288	15383	37846
289	15426	37768
290	15471	37694
291	15517	37623
292	15560	37547
293	15602	37466
294	15647	37394
295	15692	37321
296	15746	37271
297	15826	37282
298	15872	37212
299	15917	37141
300	15963	37072
301	16007	36998
302	16050	36922
303	16099	36860
304	16144	36788
305	16187	36712
306	16233	36644
307	16286	36591
308	16357	36579
309	16404	36513
310	16458	36461
311	16511	36409
312	16570	36369
313	16636	36347
314	16704	36326
315	16773	36306
316	16839	36282
317	16896	36237
318	16940	36164
319	16985	36094
320	17029	36021
321	17073	35949
322	17128	35901
323	17197	35880
324	17261	35850
325	17319	35808
326	17373	35756
327	17455	35763
328	17509	35711
329	17564	35662
330	17611	35596
331	17660	35533
332	17712	35478
333	17779	35453
334	17838	35411
335	17887	35348
336	17933	35281
337	17983	35222
338	18030	35156
339	18074	35085
340	18121	35020
341	18175	34970
342	18228	34915
343	18292	34883
344	18336	34813
345	18379	34741
346	18429	34680
347	18482	34628
348	18556	34613
349	18605	34553
350	18653	34490
351	18705	34435
352	18749	34364
353	18796	34300
354	18838	34227
355	18882	34157
356	18924	34086
357	18969	34018
358	19023	33966
359	19073	33909
360	19118	33840
361	19162	33772
362	19206	33703
363	19254	33643
364	19305	33585
365	19362	33540
366	19406	33471
367	19453	33409
368	19503	33350
369	19548	33284
370	19598	33227
371	19676	33217
372	19720	33149
373	19762	33078
374	19804	33006
375	19848	32940
376	19891	32870
377	19934	32802
378	19978	32735
379	20024	32670
380	20067	32602
381	20111	32536
382	20159	32475
383	20201	32406
384	20250	32347
385	20296	32285
386	20339	32217
387	20383	32150
388	20430	32089
389	20474	32023
390	20520	31961
391	20563	31894
392	20613	31837
393	20674	31798
394	20772	31815
395	20836	31781
396	20886	31725
397	20931	31659
398	20974	31593
399	21016	31524
400	21068	31471
401	21129	31431
402	21187	31386
403	21261	31366
404	21336	31346
405	21397	31305
406	21444	31244
407	21494	31187
408	21539	31124
409	21582	31058
410	21624	30989
411	21668	30924
412	21721	30872
413	21774	30821
414	21834	30778
415	21918	30770
416	22004	30763
417	22085	30751
