iter	TotalF1	MultiClass
0	0.7198959289	1.008659346
1	0.7211991991	0.9420358616
2	0.7213924968	0.8903657662
3	0.7235780747	0.8490815547
4	0.7257300372	0.8166606997
5	0.7258301692	0.7886745296
6	0.7280678267	0.7653644419
7	0.7285003666	0.7463787421
8	0.7286995574	0.7296134915
9	0.7301155727	0.7157973093
10	0.7313569383	0.7038339022
11	0.7319047969	0.6934927263
12	0.73245946	0.6839173184
13	0.7320396683	0.6752935329
14	0.7330486677	0.6679172205
15	0.7344271139	0.659401231
16	0.7347777048	0.6534357471
17	0.7344491063	0.6477547235
18	0.7358989019	0.641824788
19	0.7379779376	0.6360746296
20	0.7392026442	0.6303400884
21	0.7394953317	0.6255864892
22	0.7399964246	0.6221400215
23	0.7405607429	0.6186952886
24	0.7417709732	0.6147241952
25	0.7427504233	0.60985928
26	0.7445791183	0.6066358696
27	0.7470052016	0.6022327379
28	0.7475202796	0.5992826269
29	0.7481325638	0.5957717397
30	0.7505979255	0.5904421592
31	0.7518146569	0.586443594
32	0.7528170272	0.5828594229
33	0.7558368778	0.5756488099
34	0.7569516411	0.5731981465
35	0.7593580811	0.5696941409
36	0.7600010821	0.5671881246
37	0.7601847057	0.5646542511
38	0.7619685305	0.5610350963
39	0.7621158412	0.5591008584
40	0.7653088378	0.5535066011
41	0.7654732279	0.5514281568
42	0.7669806401	0.5477808922
43	0.7696706712	0.5434696269
44	0.7703203224	0.5418286878
45	0.7715715906	0.5398884212
46	0.7722089455	0.5375950793
47	0.7748321836	0.5335998791
48	0.7751226738	0.531737602
49	0.7761408554	0.5301262933
50	0.7769208575	0.5281548326
51	0.7787819355	0.5246577883
52	0.780009513	0.5221195398
53	0.7812935264	0.5200366941
54	0.782068219	0.5186941536
55	0.7832195369	0.5153892719
56	0.7852415424	0.5126626954
57	0.7854795782	0.5105118879
58	0.7868769319	0.5076595364
59	0.7893135799	0.5054431832
60	0.7903034636	0.5040288826
61	0.792030357	0.501400652
62	0.7923628034	0.5005454118
63	0.7940134884	0.4968919702
64	0.796246523	0.494404463
65	0.7990311486	0.4900741035
66	0.7993821792	0.4891062942
67	0.8005868755	0.4876004788
68	0.8024353058	0.484633493
69	0.8038910794	0.4816791086
70	0.8058571671	0.4780511699
71	0.8075378972	0.4746695224
72	0.8094344291	0.4703838656
73	0.8100677732	0.4683699825
74	0.8112731078	0.4664802388
75	0.8124628585	0.4646301219
76	0.8136683629	0.4625502866
77	0.8170148325	0.4587001494
78	0.8168682492	0.4579705318
79	0.8194303546	0.4540268977
80	0.8201357701	0.4530852609
81	0.8233929846	0.4492760601
82	0.8244516372	0.4478707555
83	0.8260521609	0.4459935336
84	0.8265799837	0.444059337
85	0.8286482879	0.4416753801
86	0.8294961393	0.4402820823
87	0.8316933068	0.4375264807
88	0.83369067	0.4350439257
89	0.8355701228	0.4321452261
90	0.8357388705	0.4302675387
91	0.8384762201	0.4266481381
92	0.8401487651	0.4239904087
93	0.8405385649	0.4222257308
94	0.8419079686	0.4207964979
95	0.8423602508	0.4190895338
96	0.8430165726	0.4179264386
97	0.8450100609	0.4152548819
98	0.847151263	0.4124349344
99	0.8488005848	0.4104427683
100	0.8497433527	0.4083643569
101	0.8501431752	0.4075499029
102	0.8517193241	0.4048722865
103	0.8528829576	0.4028561852
104	0.8543195016	0.4014299153
105	0.8567735466	0.3976835734
106	0.85797122	0.3953964042
107	0.8603232773	0.3926448907
108	0.8609343112	0.390957029
109	0.8620845376	0.3882876051
110	0.8628452357	0.3866953968
111	0.86377605	0.3852481133
112	0.8653166957	0.3826299569
113	0.8670382593	0.380431125
114	0.870470533	0.37586026
115	0.871908735	0.3732492878
116	0.8734988879	0.3714072662
117	0.8750303593	0.3696694357
118	0.876254458	0.3685783569
119	0.8769424149	0.3671370098
120	0.8791981122	0.3643343613
121	0.8809014257	0.3619720053
122	0.8819612601	0.3605956025
123	0.8821555603	0.3590585348
124	0.8833643805	0.3574013915
125	0.883484849	0.3560449532
126	0.8845579336	0.3548625491
127	0.8847540314	0.3539667495
128	0.8862963163	0.3519624988
129	0.8870390687	0.3505301324
130	0.8876687892	0.3491385863
131	0.8896404462	0.3471245195
132	0.8914002268	0.3446502989
133	0.892347126	0.3435045191
134	0.893397773	0.3415052352
135	0.8945625219	0.3400420065
136	0.8966519385	0.337401508
137	0.8978408976	0.3358839205
138	0.8993306684	0.3332637886
139	0.9009869374	0.3315874424
140	0.9010784597	0.3309201924
141	0.9014385619	0.3296834461
142	0.9021421132	0.3290390996
143	0.9033306596	0.327450942
144	0.9038704516	0.3253457181
145	0.9053189821	0.3241897289
146	0.9069033622	0.3223414267
147	0.90773343	0.3213054602
148	0.9081458555	0.3201338578
149	0.9085211632	0.3187189951
150	0.9089680374	0.3175013243
151	0.9104795447	0.3155224216
152	0.9113959098	0.3142722649
153	0.9118859406	0.3134276372
154	0.9125318525	0.3123361704
155	0.9135494056	0.3105017031
156	0.9144584853	0.3090257713
157	0.9145545965	0.307989169
158	0.9154315581	0.3066796143
159	0.9169892536	0.3040112525
160	0.9173628432	0.3033403004
161	0.9184548271	0.302076517
162	0.9190432804	0.3004569746
163	0.9201990491	0.2989908948
164	0.9207486443	0.297698776
165	0.9211178507	0.2968453009
166	0.922633057	0.2947383264
167	0.9226843155	0.294050029
168	0.923689047	0.2923622493
169	0.924929852	0.2910805042
170	0.9252437259	0.2901805499
171	0.926257656	0.2884365257
172	0.9270274503	0.2877105903
173	0.9277957691	0.2866606938
174	0.9278791678	0.2859245269
175	0.9282932082	0.2842515598
176	0.9289502976	0.2834941854
177	0.9296711862	0.2826833868
178	0.9305389485	0.281698826
179	0.9313621935	0.2807411569
180	0.9318157896	0.2796813792
181	0.9329553023	0.2787875285
182	0.9335858908	0.2777042668
183	0.9343175152	0.2767527318
184	0.9349199741	0.275333312
185	0.9353820794	0.2744940515
186	0.9363967009	0.2733872894
187	0.9366680187	0.2723349943
188	0.9374063897	0.2710052158
189	0.9381821292	0.270263631
190	0.9380897311	0.2696281287
191	0.9387703367	0.2687964113
192	0.9395498289	0.2666070137
193	0.9397338841	0.2652454067
194	0.9404620915	0.2634588283
195	0.9411882839	0.2620382565
196	0.9409155072	0.2609485734
197	0.9417866166	0.259870375
198	0.9427507486	0.2584428968
199	0.9427883184	0.2580225554
200	0.9430633872	0.2571860931
201	0.9427874371	0.2565612882
202	0.9432892703	0.2559926859
203	0.9437399996	0.2552934485
204	0.9444716998	0.2541827866
205	0.9445683243	0.2532497926
206	0.9449752649	0.2522003408
207	0.9449275711	0.2514087617
208	0.9451995607	0.2508601807
209	0.9456108608	0.2500311782
210	0.9459793197	0.2495292069
211	0.9462498841	0.2487531688
212	0.9463894432	0.2479394538
213	0.9469732871	0.2467807349
214	0.947748096	0.2456797858
215	0.9479309228	0.2451429944
216	0.9484794967	0.244164644
217	0.9488018332	0.2431373306
218	0.9491614396	0.2425956946
219	0.9487944259	0.2421042683
220	0.9491612854	0.2415244674
221	0.949571661	0.2407889482
222	0.9503043501	0.2394564021
223	0.9506206119	0.2385659461
224	0.9512537078	0.2378383297
225	0.9519363598	0.2363534249
226	0.9523438813	0.2354337825
227	0.9527943836	0.2347162323
228	0.9532509923	0.2340047164
229	0.9536199335	0.2335095857
230	0.9540287741	0.2328491204
231	0.9544373262	0.2316746277
232	0.9552512846	0.2303293319
233	0.9555689703	0.2297881354
234	0.9557035576	0.2288511045
235	0.9558814951	0.2281748562
236	0.9560230681	0.227635608
237	0.9560667244	0.2269110321
238	0.9566575416	0.2258488793
239	0.9569775927	0.225220802
240	0.9577004475	0.2243664889
241	0.9581584823	0.2236789087
242	0.9585218092	0.2231002853
243	0.9586624597	0.2227182303
244	0.9590278245	0.2217738829
245	0.9590734895	0.2211153881
246	0.9592497593	0.2203557117
247	0.9594297829	0.2198180319
248	0.9598391488	0.2191340712
249	0.9601557268	0.2183769304
250	0.9613832955	0.2168953765
251	0.9615191853	0.2159844116
252	0.96156182	0.2152694811
253	0.9622475111	0.2142118342
254	0.9626100387	0.2131684633
255	0.9624731035	0.2123340226
256	0.9627926831	0.2115033834
257	0.9633838222	0.2107803164
258	0.9635178258	0.210273825
259	0.9640195208	0.2092272845
260	0.9644310986	0.208180129
261	0.9645223301	0.2076076954
262	0.964978015	0.207176601
263	0.9651589998	0.2061874021
264	0.9655275385	0.2057473543
265	0.9657984094	0.2049011471
266	0.9660665027	0.2042281231
267	0.9661579899	0.2038398436
268	0.9662936293	0.2033137866
269	0.9668402356	0.2026071677
270	0.9668836718	0.201824414
271	0.967430888	0.2006807703
272	0.9678854266	0.200247904
273	0.9687472215	0.199298499
274	0.9695646727	0.1978561513
275	0.969746143	0.1973722179
276	0.9700604529	0.1962291963
277	0.9704705574	0.195958651
278	0.9701506523	0.1953446217
279	0.9705606396	0.1945799542
280	0.9706063888	0.1938541684
281	0.9709234432	0.193190101
282	0.9716041977	0.1927293087
283	0.9717888403	0.1921959899
284	0.9716985867	0.1913437947
285	0.9720172267	0.190942381
286	0.9721987814	0.1903370341
287	0.9723821448	0.1895164449
288	0.9726102892	0.1890767628
289	0.9729267625	0.1884669294
290	0.9734721957	0.1876545993
291	0.9732886814	0.186706336
292	0.9734257616	0.1861608665
293	0.9738798026	0.1856298262
294	0.9740619916	0.1852394789
295	0.9745603602	0.184763628
296	0.9747414541	0.1842675587
297	0.9748310589	0.1836265385
298	0.9747853545	0.1831789857
299	0.9749658057	0.1827166027
300	0.9754643012	0.1813606774
301	0.9756001952	0.1806636607
302	0.9760054028	0.1802171366
303	0.9763206564	0.1789359584
304	0.9765484531	0.1784386333
305	0.9765928581	0.1781350285
306	0.9766833889	0.1778856587
307	0.9771380921	0.1766866363
308	0.9771832829	0.1760953242
309	0.977727886	0.1754375823
310	0.9779537942	0.1748809292
311	0.9779989536	0.1744717226
312	0.9781812373	0.1738183865
313	0.9781820495	0.1730861199
314	0.9783615689	0.1724708423
315	0.9780910306	0.1720328429
316	0.9783180898	0.1718089269
317	0.9783637495	0.1715966049
318	0.9784994571	0.1712076477
319	0.9786815325	0.1705601022
320	0.9786808503	0.1698011437
321	0.9787716917	0.1694487362
322	0.9792716801	0.168898669
323	0.9792722587	0.1685659925
324	0.9796794793	0.167860835
325	0.9797697055	0.1675257178
326	0.9799962319	0.1670548918
327	0.9800883064	0.1665691085
328	0.979997699	0.1662726133
329	0.9804055011	0.1656926892
330	0.980496021	0.1653352858
331	0.9804957315	0.1649912988
332	0.9804037768	0.1645875314
333	0.9805863145	0.1637550586
334	0.9807675409	0.1633008569
335	0.9808574571	0.163044293
336	0.980721318	0.1625311445
337	0.980995036	0.16208808
338	0.9811770801	0.1615670992
339	0.9813126599	0.1610894042
340	0.9814943522	0.1605310176
341	0.9814036675	0.1602834582
342	0.9815850516	0.1595653479
343	0.9817208613	0.159371474
344	0.9819927012	0.1591193155
345	0.9818562996	0.158914808
346	0.9820368744	0.1583264863
347	0.9822183235	0.1577580937
348	0.9823995472	0.1573582536
349	0.9827614197	0.1569472981
350	0.9829419144	0.156449483
351	0.9832594944	0.1560314038
352	0.9833955649	0.155092052
353	0.9834865047	0.1547108628
354	0.9836674038	0.1540233215
355	0.9839386371	0.1532690625
356	0.9837570936	0.153158499
357	0.9841649569	0.1527126441
358	0.9843009354	0.152285664
359	0.9846178751	0.1515385547
360	0.9847080061	0.1510219457
361	0.9847084434	0.150563882
362	0.9848440104	0.1501357963
363	0.9849345647	0.1495616664
364	0.9850252178	0.1492109633
365	0.98498039	0.1489474147
366	0.9851612585	0.1486372499
367	0.9851609417	0.1480366189
368	0.9852509544	0.147605987
369	0.9852511723	0.1473136477
370	0.9852513697	0.1468239974
371	0.985296846	0.1466014264
372	0.98552296	0.1460775588
373	0.9857039232	0.1457308913
374	0.9857944216	0.1453845737
375	0.9860212553	0.1451906656
376	0.9860662853	0.1449350815
377	0.9859757487	0.1442889977
378	0.9860205348	0.1439463657
379	0.9861570335	0.1433899436
380	0.9862014022	0.1430649942
381	0.9864275951	0.1425616839
382	0.9866543827	0.1422295689
383	0.9866092054	0.1418106371
384	0.9867908514	0.1414676398
385	0.9867456701	0.1410798157
386	0.9869269642	0.1408255386
387	0.9868370748	0.1405011806
388	0.9870628986	0.1400318943
389	0.9870628986	0.1395363611
390	0.9873348708	0.1390885744
391	0.9871982867	0.1387123717
392	0.9872896226	0.138359211
393	0.98729004	0.1380651496
394	0.9875621239	0.1376621994
395	0.9876981213	0.1375065473
396	0.9876977098	0.1370073406
397	0.9876516207	0.1367417078
398	0.9879243181	0.1363008821
399	0.988150733	0.135948208
400	0.9881505572	0.1356674108
401	0.9881054914	0.1354336657
402	0.9884222967	0.1351247957
403	0.9886487046	0.134779746
404	0.9884219746	0.1344335117
405	0.9886481953	0.134146688
406	0.9887384701	0.1338421197
407	0.9890559525	0.1334174594
408	0.9890562735	0.1330898631
409	0.9892829736	0.1324164812
410	0.9894188847	0.1320427574
411	0.9896447812	0.1315632215
412	0.9899608617	0.1311518093
413	0.9900513669	0.1310218596
414	0.9900060139	0.1307242403
415	0.9898704251	0.130520605
416	0.9901415751	0.1299195024
417	0.990141102	0.1295137284
418	0.9900959681	0.1292634028
419	0.9900958006	0.1290685553
420	0.9900956554	0.1288288489
421	0.9903673372	0.1284796113
422	0.9902765515	0.1281602036
423	0.9904571471	0.1279349445
424	0.9906385263	0.1275726186
425	0.9907741139	0.1273424298
426	0.990910002	0.1272124126
427	0.9908197286	0.1268219165
428	0.9910007578	0.1266456421
429	0.9909555915	0.1263234372
430	0.9911821663	0.1258617892
431	0.9911821622	0.1256588486
432	0.9912274355	0.1254302481
433	0.9914086301	0.1251085384
434	0.9913179535	0.1247571015
435	0.9914085231	0.1245139471
436	0.9914537031	0.1241438969
437	0.9914988563	0.1238555525
438	0.9914535758	0.1235531382
439	0.9914538608	0.1231568553
440	0.991499018	0.1227232259
441	0.9918159656	0.1223198872
442	0.9920873581	0.1218043685
443	0.9922230856	0.1215325063
444	0.9922232869	0.1211693493
445	0.9924041509	0.1208999642
446	0.9925396696	0.1207246787
447	0.9926756648	0.1205243785
448	0.9925852482	0.1201155442
449	0.9926303796	0.1200002111
450	0.9927205398	0.1196970577
451	0.9926752374	0.1194764481
452	0.9927205787	0.118811979
453	0.9928563838	0.1185383039
454	0.9928562752	0.1182021592
455	0.9929465466	0.117885338
456	0.9929012655	0.1177506243
457	0.9928562094	0.1174850484
458	0.9929920069	0.1170935454
459	0.9930372089	0.1168686649
460	0.9929921773	0.1167153095
461	0.9929467962	0.1163883402
