iter	Passed	Remaining
0	207	207784
1	254	126986
2	320	106654
3	385	95991
4	455	90666
5	502	83280
6	549	77884
7	598	74213
8	651	71701
9	699	69248
10	799	71884
11	871	71763
12	942	71594
13	1002	70581
14	1058	69535
15	1118	68777
16	1209	69945
17	1312	71614
18	1391	71832
19	1463	71700
20	1536	71651
21	1605	71390
22	1682	71475
23	1761	71629
24	1844	71953
25	1910	71576
26	1982	71436
27	2054	71314
28	2130	71320
29	2182	70557
30	2238	69965
31	2299	69564
32	2359	69149
33	2414	68611
34	2462	67891
35	2512	67282
36	2561	66657
37	2611	66122
38	2658	65507
39	2698	64772
40	2744	64204
41	2791	63672
42	2839	63193
43	2889	62784
44	2942	62456
45	2992	62058
46	3036	61561
47	3077	61030
48	3123	60623
49	3170	60248
50	3230	60104
51	3295	60076
52	3347	59809
53	3394	59461
54	3447	59227
55	3503	59061
56	3559	58882
57	3604	58539
58	3650	58219
59	3696	57916
60	3742	57612
61	3784	57252
62	3827	56919
63	3872	56631
64	3918	56367
65	3968	56160
66	4016	55934
67	4063	55692
68	4110	55456
69	4158	55246
70	4215	55155
71	4278	55141
72	4343	55157
73	4406	55140
74	4474	55182
75	4535	55141
76	4594	55074
77	4650	54972
78	4699	54788
79	4752	54659
80	4798	54436
81	4848	54274
82	4898	54124
83	4941	53883
84	4983	53645
85	5026	53419
86	5073	53237
87	5123	53103
88	5170	52928
89	5214	52721
90	5256	52511
91	5298	52295
92	5350	52180
93	5396	52009
94	5438	51813
95	5479	51599
96	5526	51447
97	5571	51284
98	5615	51110
99	5657	50915
100	5698	50722
101	5738	50519
102	5778	50323
103	5820	50148
104	5867	50011
105	5908	49832
106	5950	49664
107	5994	49509
108	6037	49349
109	6081	49204
110	6123	49041
111	6171	48930
112	6217	48807
113	6264	48684
114	6313	48583
115	6361	48478
116	6409	48370
117	6455	48253
118	6513	48218
119	6566	48150
120	6608	48008
121	6649	47851
122	6688	47689
123	6731	47552
124	6771	47402
125	6813	47261
126	6853	47110
127	6894	46966
128	6936	46837
129	6979	46707
130	7024	46595
131	7072	46508
132	7125	46450
133	7173	46358
134	7218	46252
135	7265	46160
136	7318	46100
137	7370	46039
138	7419	45960
139	7470	45891
140	7513	45775
141	7568	45728
142	7632	45739
143	7700	45775
144	7745	45669
145	7790	45568
146	7831	45446
147	7873	45325
148	7914	45200
149	7958	45099
150	8003	44999
151	8045	44885
152	8085	44762
153	8132	44673
154	8183	44613
155	8231	44532
156	8275	44434
157	8323	44358
158	8370	44272
159	8414	44176
160	8458	44079
161	8508	44012
162	8550	43908
163	8594	43809
164	8636	43707
165	8678	43602
166	8726	43527
167	8765	43407
168	8807	43307
169	8847	43195
170	8889	43093
171	8933	43005
172	8973	42895
173	9017	42807
174	9058	42704
175	9101	42610
176	9144	42520
177	9185	42418
178	9233	42349
179	9274	42251
180	9321	42180
181	9367	42102
182	9420	42055
183	9475	42023
184	9530	41985
185	9581	41930
186	9640	41911
187	9695	41874
188	9749	41834
189	9795	41759
190	9844	41699
191	9892	41631
192	9946	41591
193	9999	41543
194	10051	41493
195	10096	41416
196	10144	41349
197	10200	41315
198	10257	41286
199	10313	41254
200	10370	41223
201	10424	41180
202	10479	41142
203	10523	41063
204	10570	40992
205	10613	40907
206	10655	40820
207	10696	40728
208	10745	40668
209	10796	40614
210	10851	40576
211	10912	40560
212	10959	40494
213	11020	40475
214	11079	40454
215	11124	40377
216	11171	40310
217	11219	40246
218	11266	40180
219	11319	40132
220	11376	40100
221	11430	40057
222	11481	40005
223	11529	39942
224	11573	39865
225	11627	39821
226	11681	39777
227	11739	39751
228	11788	39688
229	11833	39618
230	11880	39551
231	11931	39495
232	11974	39418
233	12016	39334
234	12069	39291
235	12126	39257
236	12181	39216
237	12230	39158
238	12287	39123
239	12340	39078
240	12398	39046
241	12453	39006
242	12509	38970
243	12557	38908
244	12607	38852
245	12655	38789
246	12703	38726
247	12750	38661
248	12800	38606
249	12851	38555
250	12908	38518
251	12965	38483
252	13018	38437
253	13067	38379
254	13122	38336
255	13179	38302
256	13237	38269
257	13288	38218
258	13344	38178
259	13401	38141
260	13898	39351
261	13936	39255
262	13979	39174
263	14021	39091
264	14062	39003
265	14107	38927
266	14151	38851
267	14194	38770
268	14235	38684
269	14277	38600
270	14326	38539
271	14383	38496
272	14428	38424
273	14476	38356
274	14520	38280
275	14558	38190
276	14600	38107
277	14638	38016
278	14677	37929
279	14715	37840
280	14756	37756
281	14793	37666
282	14833	37581
283	14871	37493
284	14912	37412
285	14954	37335
286	14996	37254
287	15033	37166
288	15071	37080
289	15110	36995
290	15149	36910
291	15188	36827
292	15231	36752
293	15269	36667
294	15307	36583
295	15345	36497
296	15391	36431
297	15430	36349
298	15467	36264
299	15506	36182
300	15546	36101
301	15584	36018
302	15622	35937
303	15661	35856
304	15699	35773
305	15736	35690
306	15775	35610
307	15814	35531
308	15852	35449
309	15890	35368
310	15930	35292
311	15972	35222
312	16020	35162
313	16068	35105
314	16116	35048
315	16165	34991
316	16206	34919
317	16249	34849
318	16289	34775
319	16334	34710
320	16377	34641
321	16425	34584
322	16473	34527
323	16514	34455
324	16554	34381
325	16592	34303
326	16630	34226
327	16668	34150
328	16705	34071
329	16743	33995
330	16782	33920
331	16821	33845
332	16859	33768
333	16897	33693
334	16936	33619
335	16975	33547
336	17015	33475
337	17057	33408
338	17097	33336
339	17137	33266
340	17180	33203
341	17220	33132
342	17260	33061
343	17297	32985
344	17334	32909
345	17372	32836
346	17408	32760
347	17449	32692
348	17490	32626
349	17531	32558
350	17569	32486
351	17608	32415
352	17645	32342
353	17685	32273
354	17723	32201
355	17761	32129
356	17797	32054
357	17837	31987
358	17875	31916
359	17918	31854
360	17957	31785
361	17995	31715
362	18035	31649
363	18083	31596
364	18135	31550
365	18181	31494
366	18225	31436
367	18276	31388
368	18319	31326
369	18361	31264
370	18403	31202
371	18446	31141
372	18488	31079
373	18529	31014
374	18573	30955
375	18612	30888
376	18649	30818
377	18689	30753
378	18728	30687
379	18767	30619
380	18805	30552
381	18844	30486
382	18882	30418
383	18921	30354
384	18962	30290
385	18999	30222
386	19037	30154
387	19075	30088
388	19114	30023
389	19162	29971
390	19202	29908
391	19239	29841
392	19279	29777
393	19318	29713
394	19359	29652
395	19396	29583
396	19433	29517
397	19473	29454
398	19510	29388
399	19549	29324
400	19591	29264
401	19634	29207
402	19674	29145
403	19712	29080
404	19749	29014
405	19787	28950
406	19825	28886
407	19862	28820
408	19901	28757
409	19940	28695
410	19979	28632
411	20019	28571
412	20059	28511
413	20105	28458
414	20146	28399
415	20191	28345
416	20246	28306
417	20289	28250
418	20332	28194
419	20376	28139
420	20416	28079
421	20458	28021
422	20496	27958
423	20535	27897
424	20575	27836
425	20614	27776
426	20653	27715
427	20697	27661
428	20734	27598
